,MNIST-4,MNIST-5,MNIST-8,CIFAR10-0,CIFAR10-1,lympho,cardio,thyroid
IF,0.8,1.5,1.2,0.5,0.8,0.3,0.9,0.4
VanillaAE,9.4,10.1,4.6,2,4.7,11.7,7.7,8.5
RDA,11.2,11.4,10.2,8.8,8.9,12.2,12.1,5.3
DeepSVDD,4.3,3.8,3.9,3.1,3,15.6,7.9,15.1
RandNet,3.1,3.8,2.2,2.6,3.8,8.1,5.3,5.8
i-ROBOD,0,0.1,0,0,0.1,0,0.1,0
ROBOD,0,0.1,0,0,0.1,0.1,0.1,0.6
ROBOD-0.1,0,0.1,0.1,0,0.2,0.1,0.3,0.5
ROBOD-0.5,0.1,0.1,0.1,0.5,0.3,0.1,0.3,1.3
