,MNIST-4,MNIST-5,MNIST-8,CIFAR10-0,CIFAR10-1,lympho,cardio,thyroid
IF,84.2,70.1,70.5,42.9,62.7,99.5,94.1,97.9
VanillaAE,81.4,73.6,83.3,60.3,59.2,89.4,87.1,81.1
RDA,79.7,68.9,82.6,53.9,54.1,78,78.4,80.9
DeepSVDD,81.9,75.7,85.3,55.6,59,66.5,54.6,67.5
RandNet,85.3,79.3,85.4,59.1,59.5,92.3,89.2,81.5
i-ROBOD,84.5,74.6,87,62.5,61.7,98.9,87.1,93
ROBOD,88,81.4,87.8,59.4,59.2,98.7,93.5,86.1
ROBOD-0.1,86.7,78.5,88.2,59.3,58.3,99,91.8,88.4
ROBOD-0.5,86.7,78.5,88.1,59.6,58.4,98.7,92.1,87.9
